#Bin1	Bin2	over npts	over nmax	Counts	max1000	over sqrtnpts
1.65	2.19	   0.00000	   0.00000	0	         0	   0.00000
1.65	2.33	   0.00000	   0.00000	0	         0	   0.00000
1.65	2.47	   0.00000	   0.00000	0	         0	   0.00000
1.65	2.61	   0.00000	   0.00000	0	         0	   0.00000
1.65	2.75	   0.00000	   0.00000	0	         0	   0.00000
1.65	2.89	   0.00000	   0.00000	0	         0	   0.00000
1.65	3.03	   0.00000	   0.00000	0	         0	   0.00000
1.65	3.17	   0.00000	   0.00000	0	         0	   0.00000
1.65	3.31	   0.00000	   0.00000	0	         0	   0.00000
1.65	3.45	   0.00000	   0.00000	0	         0	   0.00000
1.65	3.59	   0.00000	   0.00000	0	         0	   0.00000
1.65	3.73	   0.00000	   0.00000	0	         0	   0.00000
1.65	3.87	   0.00000	   0.00000	0	         0	   0.00000
1.65	4.01	   0.00000	   0.00000	0	         0	   0.00000
1.65	4.15	   0.00000	   0.00000	0	         0	   0.00000
1.65	4.29	   0.00000	   0.00000	0	         0	   0.00000
1.65	4.43	   0.00000	   0.00000	0	         0	   0.00000
1.65	4.57	   0.00000	   0.00000	0	         0	   0.00000
1.65	4.71	   0.00000	   0.00000	0	         0	   0.00000
1.65	4.85	   0.00000	   0.00000	0	         0	   0.00000
1.65	4.99	   0.00000	   0.00000	0	         0	   0.00000
1.65	5.13	   0.00000	   0.00000	0	         0	   0.00000
1.65	5.27	   0.00000	   0.00000	0	         0	   0.00000
1.65	5.41	   0.00000	   0.00000	0	         0	   0.00000
1.65	5.55	   0.00000	   0.00000	0	         0	   0.00000
1.65	5.69	   0.00000	   0.00000	0	         0	   0.00000
1.65	5.83	   0.00000	   0.00000	0	         0	   0.00000
1.65	5.97	   0.00000	   0.00000	0	         0	   0.00000
1.65	6.11	   0.00000	   0.00000	0	         0	   0.00000
1.65	6.25	   0.00000	   0.00000	0	         0	   0.00000
1.65	6.39	   0.00000	   0.00000	0	         0	   0.00000
1.65	6.53	   0.00000	   0.00000	0	         0	   0.00000
1.65	6.67	   0.00000	   0.00000	0	         0	   0.00000
1.65	6.81	   0.00000	   0.00000	0	         0	   0.00000
1.65	6.95	   0.00000	   0.00000	0	         0	   0.00000
1.65	7.09	   0.00000	   0.00000	0	         0	   0.00000
1.65	7.23	   0.00000	   0.00000	0	         0	   0.00000
1.65	7.37	   0.00000	   0.00000	0	         0	   0.00000
1.65	7.51	   0.00000	   0.00000	0	         0	   0.00000
1.65	7.65	   0.00000	   0.00000	0	         0	   0.00000
1.65	7.79	   0.00000	   0.00000	0	         0	   0.00000
