#Frame            H-O        H-OG1        H2N-O      H2N-OG1
     427       2.4753       2.8034       2.6015       2.8750
     428       2.4383       2.5433       2.2476       2.4495
     429       2.5135       2.5900       2.2832       2.3987
     430       2.6097       2.5584       2.8788       2.6319
     431       2.5022       2.3804       2.9919       2.7842
     432       2.4699       2.7495       2.9286       2.8563
     433       2.4814       2.6865       2.2636       2.4059
     434       2.5113       2.7445       2.3750       2.5132
     435       2.6679       2.6889       3.4567       2.6049
     436       2.4699       2.8080       2.4510       2.3817
     437       2.4471       2.8520       3.1714       3.0018
     438       2.5366       2.9572       2.7343       2.5201
     439       2.4256       2.7391       2.3993       2.6674
     440       2.7018       2.7151       3.3539       2.8375
     441       2.8167       2.5141       2.1138       2.4057
     442       2.7092       2.3265       2.8008       2.7001
     443       2.4069       2.6311       2.5566       2.7029
     444       2.3541       3.1175       2.3299       2.7018
     445       2.5090       2.6373       1.9421       2.5522
     446       2.6970       2.9441       2.9359       2.8792
     447       2.3690       3.3031       2.6059       2.4386
     448       2.1571       3.1368       2.3885       2.2630
     449       2.7671       2.9168       2.7940       2.4741
     450       2.6503       3.0426       2.7560       2.4745
     451       2.6411       2.7136       3.1029       2.4811
     452       2.5216       2.6028       3.2673       2.7040
     453       2.8374       2.6584       3.3565       2.8797
     454       2.7218       2.1267       2.6225       2.6809
     455       2.6690       2.6335       3.2312       2.5765
     456       2.4136       2.8069       2.4346       2.4908
     457       2.5903       2.7470       3.6259       2.9195
     458       2.5679       2.7272       2.5138       2.3514
     459       2.4769       2.7235       2.4816       2.6110
     460       2.4700       2.6079       2.8043       2.6395
     461       2.6490       2.7586       2.9472       2.5069
     462       2.9756       2.6011       3.0030       2.5299
     463       2.6552       2.6920       3.2828       2.7623
     464       2.5690       2.9390       3.1537       2.5624
     465       2.6604       2.6204       3.7748       2.8649
     466       2.9117       2.4618       3.6915       2.7995
     467       2.6554       2.6989       3.9174       2.7768
     468       2.6308       2.2510       4.1637       2.9198
     469       2.7660       2.4840       3.1109       2.9914
     470       2.8430       2.4908       1.8679       2.3468
     471       2.5172       2.4965       1.9324       2.6575
     472       2.5539       2.5119       2.3284       2.5162
     473       2.2144       2.9431       2.6957       2.7001
     474       2.9553       2.7437       3.3033       2.6020
     475       3.0776       2.6410       2.1626       2.5374
     476       2.6490       2.3428       2.5590       2.6092
     477       3.0951       2.8661       3.9109       2.8472
     478       3.2613       2.6792       1.8993       2.4571
     479       3.0543       2.6417       2.8666       2.9695
     480       3.2068       2.5605       2.4220       2.4542
     481       3.0850       2.5723       2.3448       2.3515
     482       3.0373       2.3529       2.5841       2.8464
     483       3.0052       2.5188       2.2447       2.7933
     484       3.0888       2.3671       2.9598       2.9264
     485       3.0718       2.3264       2.8190       3.0581
     486       3.0865       2.4855       2.5661       2.6642
     487       2.8714       2.4308       3.1466       2.9737
     488       2.9586       2.5624       3.2545       2.5426
     489       3.3441       2.5449       2.1634       2.5707
     490       3.1861       2.3431       1.9036       2.5279
     491       3.2769       2.8170       3.6159       2.7559
     492       3.0994       2.3578       2.4307       2.4852
     493       2.8215       2.5088       3.3880       3.1761
     494       2.7641       2.3773       2.2646       2.5465
     495       2.6868       2.6054       2.2440       2.5549
     496       2.6139       2.8876       2.2124       2.7424
     497       3.1071       2.5617       2.3418       2.5982
     498       2.6898       2.5583       2.0632       2.7355
     499       2.9955       2.5959       2.3332       2.3721
     500       3.0916       2.4114       3.7031       3.3087
     501       3.0868       2.9684       3.6046       2.8372
     502       3.1145       2.7904       2.0180       2.7883
     503       3.2367       2.2868       2.6745       2.6093
     504       3.0866       2.6066       2.8322       2.5545
     505       3.1447       2.3563       3.3377       2.5079
     506       3.4215       2.5092       3.4353       2.8096
     507       3.1070       2.3991       2.5613       2.6989
     508       3.1396       2.4531       3.4164       2.6882
     509       3.0388       2.3176       2.2515       2.4117
     510       3.0609       2.6702       3.0879       2.8392
     511       3.1690       2.3073       3.5094       2.7277
     512       3.3035       2.4255       3.0800       2.6729
     513       3.0886       2.3208       3.1022       2.9210
     514       2.8442       2.1815       3.4529       2.7339
     515       3.2537       2.3332       2.8770       2.2787
     516       3.3038       2.1208       3.4089       2.4284
     517       3.0520       2.5780       3.0725       2.5380
     518       3.1496       2.4436       3.3144       2.6976
     519       3.2686       2.5376       4.0519       2.9588
     520       3.4201       2.6597       4.1984       3.1001
     521       3.4034       2.2515       3.5594       2.8115
     522       3.0875       2.4983       2.3742       2.6061
     523       3.2066       2.4375       2.7447       2.7812
